,freq_total,nodes,edges,pedge00,pedge11,pnode,total_states
328,0,7,5.0,3.0,0.0,3,128
329,3,7,5.0,2.0,0.0,2,128
330,5,7,5.0,2.0,0.0,1,128
331,271,7,5.0,1.0,0.0,0,128
332,0,7,5.0,2.0,1.0,2,128
333,2,7,5.0,1.0,1.0,1,128
334,2,7,5.0,1.0,1.0,1,128
335,182,7,5.0,0.0,1.0,0,128
336,0,7,5.0,3.0,1.0,4,128
337,0,7,5.0,3.0,2.0,4,128
338,0,7,5.0,2.0,1.0,2,128
339,0,7,5.0,2.0,2.0,2,128
340,5,7,5.0,1.0,1.0,1,128
341,4,7,5.0,1.0,2.0,1,128
342,149,7,5.0,0.0,1.0,0,128
343,83,7,5.0,0.0,2.0,0,128
344,1,7,5.0,2.0,1.0,2,128
345,0,7,5.0,2.0,2.0,2,128
346,26,7,5.0,1.0,1.0,0,128
347,11,7,5.0,1.0,2.0,0,128
348,0,7,5.0,1.0,2.0,1,128
349,0,7,5.0,1.0,3.0,1,128
350,12,7,5.0,0.0,2.0,0,128
351,11,7,5.0,0.0,3.0,0,128
352,0,7,5.0,2.0,0.0,2,128
353,50,7,5.0,1.0,0.0,1,128
354,0,7,5.0,2.0,1.0,2,128
355,2,7,5.0,1.0,1.0,1,128
356,0,7,5.0,1.0,1.0,1,128
357,94,7,5.0,0.0,1.0,0,128
358,2,7,5.0,1.0,2.0,1,128
359,65,7,5.0,0.0,2.0,0,128
360,43,7,5.0,1.0,0.0,1,128
361,1685,7,5.0,0.0,0.0,0,128
362,3,7,5.0,1.0,1.0,1,128
363,188,7,5.0,0.0,1.0,0,128
364,1,7,5.0,1.0,2.0,1,128
365,59,7,5.0,0.0,2.0,0,128
366,0,7,5.0,1.0,3.0,1,128
367,28,7,5.0,0.0,3.0,0,128
368,5,7,5.0,1.0,1.0,1,128
369,1,7,5.0,1.0,2.0,1,128
370,0,7,5.0,1.0,2.0,1,128
371,0,7,5.0,1.0,3.0,1,128
372,8,7,5.0,0.0,2.0,0,128
373,4,7,5.0,0.0,3.0,0,128
374,4,7,5.0,0.0,3.0,0,128
375,2,7,5.0,0.0,4.0,0,128
376,146,7,5.0,0.0,1.0,0,128
377,85,7,5.0,0.0,2.0,0,128
378,19,7,5.0,0.0,2.0,0,128
379,6,7,5.0,0.0,3.0,0,128
380,4,7,5.0,0.0,3.0,0,128
381,5,7,5.0,0.0,4.0,0,128
382,1,7,5.0,0.0,4.0,0,128
383,2,7,5.0,0.0,5.0,0,128
384,0,7,5.0,5.0,0.0,7,128
385,0,7,5.0,4.0,0.0,5,128
386,0,7,5.0,4.0,0.0,5,128
387,0,7,5.0,3.0,0.0,3,128
388,0,7,5.0,3.0,0.0,4,128
389,0,7,5.0,2.0,0.0,2,128
390,0,7,5.0,3.0,1.0,4,128
391,0,7,5.0,2.0,1.0,2,128
392,0,7,5.0,4.0,0.0,5,128
393,0,7,5.0,3.0,0.0,3,128
394,0,7,5.0,3.0,0.0,3,128
395,7,7,5.0,2.0,0.0,1,128
396,1,7,5.0,2.0,0.0,2,128
397,312,7,5.0,1.0,0.0,0,128
398,0,7,5.0,2.0,1.0,2,128
399,21,7,5.0,1.0,1.0,0,128
400,0,7,5.0,3.0,0.0,4,128
401,0,7,5.0,2.0,0.0,3,128
402,0,7,5.0,2.0,0.0,3,128
403,3,7,5.0,1.0,0.0,2,128
404,0,7,5.0,2.0,1.0,3,128
405,0,7,5.0,1.0,1.0,2,128
406,0,7,5.0,2.0,2.0,3,128
407,0,7,5.0,1.0,2.0,2,128
408,1,7,5.0,2.0,0.0,2,128
409,43,7,5.0,1.0,0.0,1,128
410,53,7,5.0,1.0,0.0,1,128
411,1570,7,5.0,0.0,0.0,0,128
412,3,7,5.0,1.0,1.0,1,128
413,172,7,5.0,0.0,1.0,0,128
414,0,7,5.0,1.0,2.0,1,128
415,47,7,5.0,0.0,2.0,0,128
416,0,7,5.0,3.0,0.0,4,128
417,0,7,5.0,3.0,1.0,4,128
418,0,7,5.0,2.0,0.0,2,128
419,0,7,5.0,2.0,1.0,2,128
420,2,7,5.0,1.0,0.0,2,128
421,0,7,5.0,1.0,1.0,2,128
422,0,7,5.0,1.0,1.0,2,128
423,0,7,5.0,1.0,2.0,2,128
424,2,7,5.0,2.0,0.0,2,128
425,0,7,5.0,2.0,1.0,2,128
426,310,7,5.0,1.0,0.0,0,128
427,22,7,5.0,1.0,1.0,0,128
428,1321,7,5.0,0.0,0.0,0,128
429,178,7,5.0,0.0,1.0,0,128
430,172,7,5.0,0.0,1.0,0,128
431,17,7,5.0,0.0,2.0,0,128
432,0,7,5.0,2.0,1.0,3,128
433,0,7,5.0,2.0,2.0,3,128
434,0,7,5.0,1.0,1.0,2,128
435,0,7,5.0,1.0,2.0,2,128
436,0,7,5.0,1.0,2.0,2,128
437,0,7,5.0,1.0,3.0,2,128
438,0,7,5.0,1.0,3.0,2,128
439,0,7,5.0,1.0,4.0,2,128
440,0,7,5.0,1.0,1.0,1,128
441,1,7,5.0,1.0,2.0,1,128
442,157,7,5.0,0.0,1.0,0,128
443,63,7,5.0,0.0,2.0,0,128
444,12,7,5.0,0.0,2.0,0,128
445,21,7,5.0,0.0,3.0,0,128
446,22,7,5.0,0.0,3.0,0,128
447,3,7,5.0,0.0,4.0,0,128
448,0,7,5.0,4.0,0.0,5,128
449,0,7,5.0,3.0,0.0,3,128
450,0,7,5.0,3.0,0.0,3,128
451,5,7,5.0,2.0,0.0,1,128
452,1,7,5.0,2.0,0.0,2,128
453,300,7,5.0,1.0,0.0,0,128
454,1,7,5.0,2.0,1.0,2,128
455,15,7,5.0,1.0,1.0,0,128
456,0,7,5.0,4.0,1.0,5,128
457,0,7,5.0,3.0,1.0,3,128
458,0,7,5.0,3.0,1.0,3,128
459,2,7,5.0,2.0,1.0,1,128
460,0,7,5.0,2.0,1.0,2,128
461,78,7,5.0,1.0,1.0,0,128
462,0,7,5.0,2.0,2.0,2,128
463,3,7,5.0,1.0,2.0,0,128
464,1,7,5.0,2.0,0.0,2,128
465,44,7,5.0,1.0,0.0,1,128
466,51,7,5.0,1.0,0.0,1,128
467,1449,7,5.0,0.0,0.0,0,128
468,3,7,5.0,1.0,1.0,1,128
469,157,7,5.0,0.0,1.0,0,128
470,1,7,5.0,1.0,2.0,1,128
471,54,7,5.0,0.0,2.0,0,128
472,0,7,5.0,2.0,1.0,2,128
473,18,7,5.0,1.0,1.0,1,128
474,16,7,5.0,1.0,1.0,1,128
475,408,7,5.0,0.0,1.0,0,128
476,0,7,5.0,1.0,2.0,1,128
477,45,7,5.0,0.0,2.0,0,128
478,0,7,5.0,1.0,3.0,1,128
479,16,7,5.0,0.0,3.0,0,128
480,3,7,5.0,2.0,0.0,2,128
481,0,7,5.0,2.0,1.0,2,128
482,297,7,5.0,1.0,0.0,0,128
483,16,7,5.0,1.0,1.0,0,128
484,1231,7,5.0,0.0,0.0,0,128
485,165,7,5.0,0.0,1.0,0,128
486,161,7,5.0,0.0,1.0,0,128
487,16,7,5.0,0.0,2.0,0,128
488,1,7,5.0,2.0,1.0,2,128
489,0,7,5.0,2.0,2.0,2,128
490,82,7,5.0,1.0,1.0,0,128
491,6,7,5.0,1.0,2.0,0,128
492,348,7,5.0,0.0,1.0,0,128
493,53,7,5.0,0.0,2.0,0,128
494,54,7,5.0,0.0,2.0,0,128
495,5,7,5.0,0.0,3.0,0,128
496,0,7,5.0,1.0,1.0,1,128
497,0,7,5.0,1.0,2.0,1,128
498,143,7,5.0,0.0,1.0,0,128
499,46,7,5.0,0.0,2.0,0,128
500,15,7,5.0,0.0,2.0,0,128
501,19,7,5.0,0.0,3.0,0,128
502,16,7,5.0,0.0,3.0,0,128
503,3,7,5.0,0.0,4.0,0,128
504,0,7,5.0,1.0,2.0,1,128
505,0,7,5.0,1.0,3.0,1,128
506,42,7,5.0,0.0,2.0,0,128
507,13,7,5.0,0.0,3.0,0,128
508,3,7,5.0,0.0,3.0,0,128
509,6,7,5.0,0.0,4.0,0,128
510,3,7,5.0,0.0,4.0,0,128
511,0,7,5.0,0.0,5.0,0,128
512,0,7,7.0,7.0,0.0,7,128
513,0,7,7.0,5.0,0.0,4,128
514,0,7,7.0,5.0,0.0,4,128
515,0,7,7.0,4.0,1.0,3,128
516,0,7,7.0,5.0,0.0,4,128
517,11,7,7.0,3.0,0.0,1,128
518,3,7,7.0,3.0,0.0,2,128
519,3,7,7.0,2.0,1.0,1,128
520,0,7,7.0,5.0,0.0,4,128
521,13,7,7.0,3.0,0.0,1,128
522,14,7,7.0,3.0,0.0,1,128
523,18,7,7.0,2.0,1.0,0,128
524,0,7,7.0,4.0,1.0,3,128
525,11,7,7.0,2.0,1.0,0,128
526,4,7,7.0,2.0,1.0,1,128
527,7,7,7.0,1.0,2.0,0,128
528,0,7,7.0,5.0,0.0,4,128
529,0,7,7.0,4.0,1.0,3,128
530,3,7,7.0,3.0,0.0,2,128
531,0,7,7.0,3.0,2.0,2,128
532,11,7,7.0,3.0,0.0,1,128
533,12,7,7.0,2.0,1.0,0,128
534,828,7,7.0,1.0,0.0,0,128
535,12,7,7.0,1.0,2.0,0,128
536,1,7,7.0,3.0,0.0,2,128
537,5,7,7.0,2.0,1.0,1,128
538,868,7,7.0,1.0,0.0,0,128
539,12,7,7.0,1.0,2.0,0,128
540,6,7,7.0,2.0,1.0,1,128
541,7,7,7.0,1.0,2.0,0,128
542,459,7,7.0,0.0,1.0,0,128
543,12,7,7.0,0.0,3.0,0,128
544,0,7,7.0,5.0,0.0,4,128
545,2,7,7.0,3.0,0.0,2,128
546,0,7,7.0,4.0,1.0,3,128
547,0,7,7.0,3.0,2.0,2,128
548,0,7,7.0,4.0,1.0,3,128
549,4,7,7.0,2.0,1.0,1,128
550,0,7,7.0,3.0,2.0,2,128
551,0,7,7.0,2.0,3.0,1,128
552,2,7,7.0,3.0,0.0,2,128
553,854,7,7.0,1.0,0.0,0,128
554,5,7,7.0,2.0,1.0,1,128
555,12,7,7.0,1.0,2.0,0,128
556,0,7,7.0,3.0,2.0,2,128
557,10,7,7.0,1.0,2.0,0,128
558,0,7,7.0,2.0,3.0,1,128
559,0,7,7.0,1.0,4.0,0,128
560,10,7,7.0,3.0,0.0,1,128
561,6,7,7.0,2.0,1.0,1,128
562,2,7,7.0,2.0,1.0,1,128
563,0,7,7.0,2.0,3.0,1,128
564,15,7,7.0,2.0,1.0,0,128
565,8,7,7.0,1.0,2.0,0,128
566,12,7,7.0,1.0,2.0,0,128
567,2,7,7.0,1.0,4.0,0,128
568,853,7,7.0,1.0,0.0,0,128
569,460,7,7.0,0.0,1.0,0,128
570,453,7,7.0,0.0,1.0,0,128
571,36,7,7.0,0.0,3.0,0,128
572,12,7,7.0,1.0,2.0,0,128
573,9,7,7.0,0.0,3.0,0,128
574,35,7,7.0,0.0,3.0,0,128
575,2,7,7.0,0.0,5.0,0,128
576,0,7,7.0,5.0,0.0,4,128
577,3,7,7.0,3.0,0.0,2,128
578,12,7,7.0,3.0,0.0,1,128
579,4,7,7.0,2.0,1.0,1,128
580,4,7,7.0,3.0,0.0,2,128
581,860,7,7.0,1.0,0.0,0,128
582,839,7,7.0,1.0,0.0,0,128
583,457,7,7.0,0.0,1.0,0,128
584,0,7,7.0,4.0,1.0,3,128
585,6,7,7.0,2.0,1.0,1,128
586,17,7,7.0,2.0,1.0,0,128
587,10,7,7.0,1.0,2.0,0,128
588,0,7,7.0,3.0,2.0,2,128
589,12,7,7.0,1.0,2.0,0,128
590,13,7,7.0,1.0,2.0,0,128
591,6,7,7.0,0.0,3.0,0,128
592,0,7,7.0,4.0,1.0,3,128
593,0,7,7.0,3.0,2.0,2,128
594,2,7,7.0,2.0,1.0,1,128
595,1,7,7.0,2.0,3.0,1,128
596,4,7,7.0,2.0,1.0,1,128
597,14,7,7.0,1.0,2.0,0,128
598,464,7,7.0,0.0,1.0,0,128
599,27,7,7.0,0.0,3.0,0,128
600,0,7,7.0,3.0,2.0,2,128
601,0,7,7.0,2.0,3.0,1,128
602,12,7,7.0,1.0,2.0,0,128
603,1,7,7.0,1.0,4.0,0,128
604,1,7,7.0,2.0,3.0,1,128
605,1,7,7.0,1.0,4.0,0,128
606,28,7,7.0,0.0,3.0,0,128
607,1,7,7.0,0.0,5.0,0,128
608,12,7,7.0,3.0,0.0,1,128
609,846,7,7.0,1.0,0.0,0,128
610,17,7,7.0,2.0,1.0,0,128
611,11,7,7.0,1.0,2.0,0,128
612,3,7,7.0,2.0,1.0,1,128
613,449,7,7.0,0.0,1.0,0,128
614,12,7,7.0,1.0,2.0,0,128
615,28,7,7.0,0.0,3.0,0,128
616,4,7,7.0,2.0,1.0,1,128
617,476,7,7.0,0.0,1.0,0,128
618,6,7,7.0,1.0,2.0,0,128
619,12,7,7.0,0.0,3.0,0,128
620,0,7,7.0,2.0,3.0,1,128
621,30,7,7.0,0.0,3.0,0,128
622,1,7,7.0,1.0,4.0,0,128
623,1,7,7.0,0.0,5.0,0,128
624,14,7,7.0,2.0,1.0,0,128
625,13,7,7.0,1.0,2.0,0,128
626,7,7,7.0,1.0,2.0,0,128
627,2,7,7.0,1.0,4.0,0,128
628,8,7,7.0,1.0,2.0,0,128
629,8,7,7.0,0.0,3.0,0,128
