,A,B,C,D,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,AB,BC,CD,AC,BD,AD,pedge00,pedge11,pnode,hnodes,lnodes,pedge
35,1,1,0,1,23,154,59,4,0,0,0,0,0,0,1,1,1,0,0,1,0.0,2.0,0.0,3.0,1.0,
36,1,1,1,0,25,148,52,4,0,0,0,0,0,0,1,1,1,0,0,1,0.0,2.0,0.0,3.0,1.0,
37,1,1,0,0,4,42,83,7,0,0,0,0,0,0,1,1,1,0,0,1,1.0,1.0,0.0,2.0,2.0,
38,1,0,1,0,1274,5905,916,43,0,0,0,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,2.0,2.0,
39,1,0,0,1,9,55,96,10,0,0,0,0,0,0,1,1,1,0,0,1,1.0,1.0,0.0,2.0,2.0,
40,0,1,1,0,10,48,64,9,0,0,0,0,0,0,1,1,1,0,0,1,1.0,1.0,0.0,2.0,2.0,
41,0,1,0,1,1271,5921,912,48,0,0,0,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,2.0,2.0,
42,0,0,1,1,8,36,101,2,0,0,0,0,0,0,1,1,1,0,0,1,1.0,1.0,0.0,2.0,2.0,
43,1,0,0,0,2,29,53,5,0,0,0,0,0,0,1,1,1,0,0,1,2.0,0.0,1.0,1.0,3.0,
44,0,1,0,0,2,22,46,8,0,0,0,0,0,0,1,1,1,0,0,1,2.0,0.0,1.0,1.0,3.0,
45,0,0,1,0,3,31,64,7,0,0,0,0,0,0,1,1,1,0,0,1,2.0,0.0,1.0,1.0,3.0,
46,0,0,0,1,3,29,60,5,0,0,0,0,0,0,1,1,1,0,0,1,2.0,0.0,1.0,1.0,3.0,
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,4.0,0.0,4.0,0.0,4.0,
48,1,1,1,1,13,21,16,6,0,0,6,1,0,28,1,1,1,1,1,0,0.0,5.0,0.0,4.0,0.0,
49,0,1,1,1,55,97,68,13,2,3,1,4,1,121,1,1,1,1,1,0,0.0,3.0,0.0,3.0,1.0,
50,1,0,1,1,75,186,71,9,0,5,5,14,2,135,1,1,1,1,1,0,0.0,2.0,0.0,3.0,1.0,
51,1,1,0,1,86,236,87,18,1,4,0,0,6,72,1,1,1,1,1,0,0.0,2.0,0.0,3.0,1.0,
52,1,1,1,0,65,98,45,8,0,3,7,0,3,124,1,1,1,1,1,0,0.0,3.0,0.0,3.0,1.0,
53,1,1,0,0,75,204,148,15,2,1,3,7,2,93,1,1,1,1,1,0,1.0,1.0,0.0,2.0,2.0,
54,1,0,1,0,63,219,152,22,4,1,5,10,14,76,1,1,1,1,1,0,1.0,1.0,0.0,2.0,2.0,
55,1,0,0,1,1312,3432,1171,127,8,11,19,5,15,234,1,1,1,1,1,0,1.0,0.0,0.0,2.0,2.0,
56,0,1,1,0,1247,2369,1089,129,24,19,24,17,8,503,1,1,1,1,1,0,0.0,1.0,0.0,2.0,2.0,
57,0,1,0,1,78,208,148,29,4,0,1,0,0,62,1,1,1,1,1,0,1.0,1.0,0.0,2.0,2.0,
58,0,0,1,1,91,206,141,27,1,1,0,8,15,143,1,1,1,1,1,0,1.0,1.0,0.0,2.0,2.0,
59,1,0,0,0,8,29,23,4,0,0,0,0,0,26,1,1,1,1,1,0,3.0,0.0,1.0,1.0,3.0,
60,0,1,0,0,313,898,379,59,5,3,19,10,1,105,1,1,1,1,1,0,2.0,0.0,0.0,1.0,3.0,
61,0,0,1,0,306,844,333,54,3,3,7,3,9,87,1,1,1,1,1,0,2.0,0.0,0.0,1.0,3.0,
62,0,0,0,1,8,32,23,8,1,0,1,1,5,10,1,1,1,1,1,0,3.0,0.0,1.0,1.0,3.0,
63,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5.0,0.0,4.0,0.0,4.0,
